Danish Attribute;Danish ID;Swedish Attribute;Swedish ID
Baggrundsfarve;367;;
BH;779;BH;975
Brand;768;Brand;964
Egenskab;775;;
Farve;769;Färg;965
Gavekort beløb;777;Gavekort beløb;973
Køn;770;Kön;966
Materiale;773;Materiale;970
Passer til;782;Passer til;976
Produkttype;776;Produkttype;972
Skostørrelse;772;Storlek;968
Sprog;781;;
Strømpestørrelse;778;Strumporstorlek;974
Tøjstørrelse;771;Klädestorlek;967
Type;780;Variant;969
Type af fod;767;Type af fod;963
Ur;774;Ur;971
Ur størrelse;783;;
;;;
;;;
;;;
;;;
;;;
;;;
